addr,side,group,btcblack_found,btcblack_latency_ms,block_height
bc1qkyw7ga6xc6j93jreh83xr49hre4vjr9tzgr4wy,input,target_blocks,False,118.0,
bc1q2svk5sdyz2clv5qjwyd775dpuquvty32z5fe77,input,target_blocks,False,146.1,
bc1qyeq40d9newssuw4sk26wkwnufcdwql9wl988sn,input,target_blocks,False,140.9,
bc1q0mtes3aeu6twet3ctu8p8er2up85ackypv3yz8,input,target_blocks,False,118.0,
bc1pqyuyhcd954tt4075d6e8t5j8t8g4swvn8epwg08jpfjmu2683w9stmvutj,input,target_blocks,False,141.7,
bc1p00crz8kdyy2e6kaw36wh00xrwverq3hakk2j0uhevrvwuv56ewrqh4xsr0,input,target_blocks,False,141.6,
bc1q403jhh2w7m3t57z3e4k3nsc2vyqqeqa65s40dp,input,target_blocks,False,117.9,
bc1p6f0eepw70pg27466mcr2r72cg2nyattqxsr4vdmg5s54465tc2aslp4gp3,input,target_blocks,False,140.9,
bc1qv5m0yglcs0y9q5prvtnc393whtvfpz7w79zh6m,input,target_blocks,False,141.7,
bc1qwuadplkffmy29uvw0mkg6kznmnhjqs8hg802sr,input,target_blocks,False,147.7,
bc1q8dfr8xm72ydfqk7cutu8t367jkzhmss8agg30d,input,target_blocks,False,141.9,
bc1q6r90660f77vn60c6pjk9thzeukwwsu6xnkxq5t,input,target_blocks,False,26.1,
bc1qhzzdm9mh73wcv938egatkgvyue9wr447ez0le3,input,target_blocks,False,65.4,
bc1q5u2mt3mv9mqwssvex4mnjp4czk0n07dwv5rytl,input,target_blocks,False,92.3,
bc1qx665m0wrs4aruhuj0mvxj5avscjzpz7n8m33x8,input,target_blocks,False,140.4,
bc1qqvmyg0c6lax249y8mjytcg0tw7mmtvuevlpr6f,input,target_blocks,False,57.0,
bc1qeq5uur7f06lfyvu80pjemtwlr9mazydnkmp0aa,input,target_blocks,False,91.4,
bc1qlh8m84xlqvvk92te0pv3jjkc355stgqnunfh00,input,target_blocks,False,134.4,
bc1qeecz0dccstst3uluh7e3jfrjc8gjz99ugef2dt,input,target_blocks,False,128.4,
