feature,mean_abs_shap,correlation_with_shap,dominant_effect
script_type_encoded,1.2013845116259516,-0.019164007976590552,negative
total_input_scaled,1.0318196347874429,0.9271047653431469,positive
has_witness,0.8792294650671919,-0.7815259901512099,negative
log_output_value,0.8462193852666591,0.9521314073714056,positive
fee_ratio,0.8217611472924532,0.21491099541657055,positive
prev_addr_seen_ratio,0.7474150981046633,0.8504353578390274,positive
avg_input_value,0.6285307355184077,0.149445357691284,positive
prev_addr_seen_count,0.486199520597329,0.28352845446610586,positive
tx_weight,0.29712357180949256,0.1845211669438841,positive
io_count_ratio,0.28235476124759473,-0.34077666492803754,negative
output_count,0.06825401154880528,-0.06266813718543102,negative
input_count,0.0671727519229685,0.04880768953507012,positive
input_addr_concentration,0.05602250661063003,-0.14709543344842843,negative
input_addr_count,0.042300153748002216,0.21775523827911325,positive
coinbase_flag,0.0,,negative
