feature,spearman_r,abs_r,p_value,status
has_witness,-0.20699869884779518,0.20699869884779518,0.0,LOW
prev_addr_seen_ratio,0.1312398427738477,0.1312398427738477,0.0,LOW
prev_addr_seen_count,0.12826817876201968,0.12826817876201968,0.0,LOW
log_output_value,0.08139629431628784,0.08139629431628784,0.0,LOW
input_addr_concentration,-0.07378972815603307,0.07378972815603307,0.0,LOW
input_count,0.06616777834087263,0.06616777834087263,0.0,LOW
avg_input_value,0.06216749489047516,0.06216749489047516,0.0,LOW
io_count_ratio,-0.042025213490360674,0.042025213490360674,0.0,LOW
fee_ratio,-0.028316788900233484,0.028316788900233484,2.9500820353221946e-296,LOW
input_addr_count,0.027691070685865005,0.027691070685865005,2.1287659132309027e-283,LOW
script_type_encoded,-0.015392008168092185,0.015392008168092185,6.28140923608621e-89,LOW
output_count,-0.008066397928746454,0.008066397928746454,1.097278956615511e-25,LOW
coinbase_flag,-0.0015755652391505823,0.0015755652391505823,0.04071118650099698,LOW
