model,feature_set,split,target_precision_on_validation,threshold,val_precision,val_recall,val_f1,n,positives,positive_rate,auc_pr,auc_roc,brier,f1,precision,recall,tp,fp,tn,fn
XGBoost,15_features_with_memory,D5D6_full,0.8,0.997364342212677,1.0,0.0005698005698005698,0.0011389521640079732,649491,5900,0.009084036576334392,0.7380108154595904,0.9764949897514921,0.02295895766895513,0.001693480101608806,1.0,0.000847457627118644,5,0,643591,5895
XGBoost,15_features_with_memory,D5D6_clean_without_914593_914595,0.8,0.997364342212677,1.0,0.0005698005698005698,0.0011389521640079732,636701,5853,0.009192697985396599,0.7358608041014155,0.9759364614590904,0.023399850770559068,0.001707067258449983,1.0,0.0008542627712284299,5,0,630848,5848
XGBoost,15_features_with_memory,D5D6_full,0.9,0.997364342212677,1.0,0.0005698005698005698,0.0011389521640079732,649491,5900,0.009084036576334392,0.7380108154595904,0.9764949897514921,0.02295895766895513,0.001693480101608806,1.0,0.000847457627118644,5,0,643591,5895
XGBoost,15_features_with_memory,D5D6_clean_without_914593_914595,0.9,0.997364342212677,1.0,0.0005698005698005698,0.0011389521640079732,636701,5853,0.009192697985396599,0.7358608041014155,0.9759364614590904,0.023399850770559068,0.001707067258449983,1.0,0.0008542627712284299,5,0,630848,5848
XGBoost,15_features_with_memory,D5D6_full,0.95,0.997364342212677,1.0,0.0005698005698005698,0.0011389521640079732,649491,5900,0.009084036576334392,0.7380108154595904,0.9764949897514921,0.02295895766895513,0.001693480101608806,1.0,0.000847457627118644,5,0,643591,5895
XGBoost,15_features_with_memory,D5D6_clean_without_914593_914595,0.95,0.997364342212677,1.0,0.0005698005698005698,0.0011389521640079732,636701,5853,0.009192697985396599,0.7358608041014155,0.9759364614590904,0.023399850770559068,0.001707067258449983,1.0,0.0008542627712284299,5,0,630848,5848
CatBoost,15_features_with_memory,D5D6_full,0.8,0.997222805859373,1.0,0.0017094017094017094,0.003412969283273043,649491,5900,0.009084036576334392,0.7332792621277812,0.9790489818923582,0.026639304366276723,0.016137165910237016,0.9795918367346939,0.008135593220338983,48,1,643590,5852
CatBoost,15_features_with_memory,D5D6_clean_without_914593_914595,0.8,0.997222805859373,1.0,0.0017094017094017094,0.003412969283273043,636701,5853,0.009192697985396599,0.7317840755966519,0.9785631150039794,0.027152196626325988,0.01626567265333785,0.9795918367346939,0.008200922603792926,48,1,630847,5805
CatBoost,15_features_with_memory,D5D6_full,0.9,0.997222805859373,1.0,0.0017094017094017094,0.003412969283273043,649491,5900,0.009084036576334392,0.7332792621277812,0.9790489818923582,0.026639304366276723,0.016137165910237016,0.9795918367346939,0.008135593220338983,48,1,643590,5852
CatBoost,15_features_with_memory,D5D6_clean_without_914593_914595,0.9,0.997222805859373,1.0,0.0017094017094017094,0.003412969283273043,636701,5853,0.009192697985396599,0.7317840755966519,0.9785631150039794,0.027152196626325988,0.01626567265333785,0.9795918367346939,0.008200922603792926,48,1,630847,5805
CatBoost,15_features_with_memory,D5D6_full,0.95,0.997222805859373,1.0,0.0017094017094017094,0.003412969283273043,649491,5900,0.009084036576334392,0.7332792621277812,0.9790489818923582,0.026639304366276723,0.016137165910237016,0.9795918367346939,0.008135593220338983,48,1,643590,5852
CatBoost,15_features_with_memory,D5D6_clean_without_914593_914595,0.95,0.997222805859373,1.0,0.0017094017094017094,0.003412969283273043,636701,5853,0.009192697985396599,0.7317840755966519,0.9785631150039794,0.027152196626325988,0.01626567265333785,0.9795918367346939,0.008200922603792926,48,1,630847,5805
XGBoost,13_features_without_memory,D5D6_full,0.8,0.9951812624931335,1.0,0.0005698005698005698,0.0011389521640079732,649491,5900,0.009084036576334392,0.3446324271355193,0.9636080024135762,0.022883496260203987,0.01078894133513149,1.0,0.005423728813559322,32,0,643591,5868
XGBoost,13_features_without_memory,D5D6_clean_without_914593_914595,0.8,0.9951812624931335,1.0,0.0005698005698005698,0.0011389521640079732,636701,5853,0.009192697985396599,0.34231552839802926,0.9627645647122552,0.023322154772121136,0.010875106202209005,1.0,0.005467281735861951,32,0,630848,5821
XGBoost,13_features_without_memory,D5D6_full,0.9,0.9951812624931335,1.0,0.0005698005698005698,0.0011389521640079732,649491,5900,0.009084036576334392,0.3446324271355193,0.9636080024135762,0.022883496260203987,0.01078894133513149,1.0,0.005423728813559322,32,0,643591,5868
XGBoost,13_features_without_memory,D5D6_clean_without_914593_914595,0.9,0.9951812624931335,1.0,0.0005698005698005698,0.0011389521640079732,636701,5853,0.009192697985396599,0.34231552839802926,0.9627645647122552,0.023322154772121136,0.010875106202209005,1.0,0.005467281735861951,32,0,630848,5821
XGBoost,13_features_without_memory,D5D6_full,0.95,0.9951812624931335,1.0,0.0005698005698005698,0.0011389521640079732,649491,5900,0.009084036576334392,0.3446324271355193,0.9636080024135762,0.022883496260203987,0.01078894133513149,1.0,0.005423728813559322,32,0,643591,5868
XGBoost,13_features_without_memory,D5D6_clean_without_914593_914595,0.95,0.9951812624931335,1.0,0.0005698005698005698,0.0011389521640079732,636701,5853,0.009192697985396599,0.34231552839802926,0.9627645647122552,0.023322154772121136,0.010875106202209005,1.0,0.005467281735861951,32,0,630848,5821
LightGBM,13_features_without_memory,D5D6_full,0.8,0.9971565656903603,0.8,0.002279202279202279,0.00454545454544888,649491,5900,0.009084036576334392,0.3212976086061546,0.9421858730472288,0.01407460168053288,0.01680672268907563,1.0,0.00847457627118644,50,0,643591,5850
LightGBM,13_features_without_memory,D5D6_clean_without_914593_914595,0.8,0.9971565656903603,0.8,0.002279202279202279,0.00454545454544888,636701,5853,0.009192697985396599,0.32027308047768,0.9409700370756282,0.014334840282929109,0.01694053870913095,1.0,0.008542627712284298,50,0,630848,5803
LightGBM,13_features_without_memory,D5D6_full,0.9,0.9974608339108348,1.0,0.0011396011396011395,0.0022766078542948228,649491,5900,0.009084036576334392,0.3212976086061546,0.9421858730472288,0.01407460168053288,0.01413665432514305,1.0,0.00711864406779661,42,0,643591,5858
LightGBM,13_features_without_memory,D5D6_clean_without_914593_914595,0.9,0.9974608339108348,1.0,0.0011396011396011395,0.0022766078542948228,636701,5853,0.009192697985396599,0.32027308047768,0.9409700370756282,0.014334840282929109,0.014249363867684479,1.0,0.007175807278318811,42,0,630848,5811
