k,precision_at_k,recall_at_k,tp_at_k,alerts,total_positives,model,feature_set,split
50,1.0,0.00847457627118644,50,50,5900,XGBoost,15_features_with_memory,D5D6_full
100,0.99,0.01677966101694915,99,100,5900,XGBoost,15_features_with_memory,D5D6_full
200,0.98,0.033220338983050844,196,200,5900,XGBoost,15_features_with_memory,D5D6_full
500,0.984,0.08338983050847458,492,500,5900,XGBoost,15_features_with_memory,D5D6_full
1000,0.967,0.16389830508474576,967,1000,5900,XGBoost,15_features_with_memory,D5D6_full
2000,0.951,0.32237288135593223,1902,2000,5900,XGBoost,15_features_with_memory,D5D6_full
5000,0.8102,0.6866101694915254,4051,5000,5900,XGBoost,15_features_with_memory,D5D6_full
10000,0.4695,0.7957627118644067,4695,10000,5900,XGBoost,15_features_with_memory,D5D6_full
50,1.0,0.008542627712284298,50,50,5853,XGBoost,15_features_with_memory,D5D6_clean_without_914593_914595
100,0.99,0.016914402870322913,99,100,5853,XGBoost,15_features_with_memory,D5D6_clean_without_914593_914595
200,0.98,0.03348710063215445,196,200,5853,XGBoost,15_features_with_memory,D5D6_clean_without_914593_914595
500,0.982,0.08388860413463181,491,500,5853,XGBoost,15_features_with_memory,D5D6_clean_without_914593_914595
1000,0.966,0.16504356740133266,966,1000,5853,XGBoost,15_features_with_memory,D5D6_clean_without_914593_914595
2000,0.95,0.32461985306680335,1900,2000,5853,XGBoost,15_features_with_memory,D5D6_clean_without_914593_914595
5000,0.807,0.6893900563813429,4035,5000,5853,XGBoost,15_features_with_memory,D5D6_clean_without_914593_914595
10000,0.4652,0.7948060823509312,4652,10000,5853,XGBoost,15_features_with_memory,D5D6_clean_without_914593_914595
50,0.98,0.008305084745762711,49,50,5900,LightGBM,15_features_with_memory,D5D6_full
100,0.99,0.01677966101694915,99,100,5900,LightGBM,15_features_with_memory,D5D6_full
200,0.995,0.033728813559322036,199,200,5900,LightGBM,15_features_with_memory,D5D6_full
500,0.996,0.08440677966101695,498,500,5900,LightGBM,15_features_with_memory,D5D6_full
1000,0.995,0.16864406779661018,995,1000,5900,LightGBM,15_features_with_memory,D5D6_full
2000,0.9905,0.33576271186440676,1981,2000,5900,LightGBM,15_features_with_memory,D5D6_full
5000,0.8308,0.7040677966101695,4154,5000,5900,LightGBM,15_features_with_memory,D5D6_full
10000,0.4666,0.7908474576271186,4666,10000,5900,LightGBM,15_features_with_memory,D5D6_full
50,0.98,0.008371775158038613,49,50,5853,LightGBM,15_features_with_memory,D5D6_clean_without_914593_914595
100,0.99,0.016914402870322913,99,100,5853,LightGBM,15_features_with_memory,D5D6_clean_without_914593_914595
200,0.995,0.03399965829489151,199,200,5853,LightGBM,15_features_with_memory,D5D6_clean_without_914593_914595
500,0.996,0.08508457201435161,498,500,5853,LightGBM,15_features_with_memory,D5D6_clean_without_914593_914595
1000,0.995,0.16999829147445755,995,1000,5853,LightGBM,15_features_with_memory,D5D6_clean_without_914593_914595
2000,0.9905,0.33845890996070394,1981,2000,5853,LightGBM,15_features_with_memory,D5D6_clean_without_914593_914595
5000,0.8254,0.705108491371946,4127,5000,5853,LightGBM,15_features_with_memory,D5D6_clean_without_914593_914595
10000,0.4623,0.7898513582778063,4623,10000,5853,LightGBM,15_features_with_memory,D5D6_clean_without_914593_914595
50,0.98,0.008305084745762711,49,50,5900,CatBoost,15_features_with_memory,D5D6_full
100,0.89,0.015084745762711864,89,100,5900,CatBoost,15_features_with_memory,D5D6_full
200,0.87,0.029491525423728814,174,200,5900,CatBoost,15_features_with_memory,D5D6_full
500,0.862,0.07305084745762712,431,500,5900,CatBoost,15_features_with_memory,D5D6_full
1000,0.903,0.15305084745762712,903,1000,5900,CatBoost,15_features_with_memory,D5D6_full
2000,0.9445,0.32016949152542373,1889,2000,5900,CatBoost,15_features_with_memory,D5D6_full
5000,0.8226,0.6971186440677966,4113,5000,5900,CatBoost,15_features_with_memory,D5D6_full
10000,0.4714,0.7989830508474576,4714,10000,5900,CatBoost,15_features_with_memory,D5D6_full
50,0.98,0.008371775158038613,49,50,5853,CatBoost,15_features_with_memory,D5D6_clean_without_914593_914595
100,0.89,0.015205877327866052,89,100,5853,CatBoost,15_features_with_memory,D5D6_clean_without_914593_914595
200,0.87,0.02972834443874936,174,200,5853,CatBoost,15_features_with_memory,D5D6_clean_without_914593_914595
500,0.862,0.07363745087989065,431,500,5853,CatBoost,15_features_with_memory,D5D6_clean_without_914593_914595
1000,0.903,0.15427985648385442,903,1000,5853,CatBoost,15_features_with_memory,D5D6_clean_without_914593_914595
2000,0.9445,0.3227404749701008,1889,2000,5853,CatBoost,15_features_with_memory,D5D6_clean_without_914593_914595
5000,0.8174,0.6982743892021186,4087,5000,5853,CatBoost,15_features_with_memory,D5D6_clean_without_914593_914595
10000,0.4671,0.7980522808815992,4671,10000,5853,CatBoost,15_features_with_memory,D5D6_clean_without_914593_914595
50,0.88,0.007457627118644068,44,50,5900,XGBoost,13_features_without_memory,D5D6_full
100,0.76,0.01288135593220339,76,100,5900,XGBoost,13_features_without_memory,D5D6_full
200,0.695,0.023559322033898305,139,200,5900,XGBoost,13_features_without_memory,D5D6_full
500,0.626,0.05305084745762712,313,500,5900,XGBoost,13_features_without_memory,D5D6_full
1000,0.52,0.08813559322033898,520,1000,5900,XGBoost,13_features_without_memory,D5D6_full
2000,0.4465,0.15135593220338983,893,2000,5900,XGBoost,13_features_without_memory,D5D6_full
5000,0.4148,0.35152542372881357,2074,5000,5900,XGBoost,13_features_without_memory,D5D6_full
10000,0.3665,0.6211864406779661,3665,10000,5900,XGBoost,13_features_without_memory,D5D6_full
50,0.88,0.0075175123868101825,44,50,5853,XGBoost,13_features_without_memory,D5D6_clean_without_914593_914595
100,0.76,0.012984794122672134,76,100,5853,XGBoost,13_features_without_memory,D5D6_clean_without_914593_914595
200,0.695,0.02374850504015035,139,200,5853,XGBoost,13_features_without_memory,D5D6_clean_without_914593_914595
500,0.626,0.05347684947889971,313,500,5853,XGBoost,13_features_without_memory,D5D6_clean_without_914593_914595
1000,0.52,0.0888433282077567,520,1000,5853,XGBoost,13_features_without_memory,D5D6_clean_without_914593_914595
2000,0.4415,0.1508628053989407,883,2000,5853,XGBoost,13_features_without_memory,D5D6_clean_without_914593_914595
5000,0.4112,0.35127285152913035,2056,5000,5853,XGBoost,13_features_without_memory,D5D6_clean_without_914593_914595
10000,0.3655,0.6244660857679822,3655,10000,5853,XGBoost,13_features_without_memory,D5D6_clean_without_914593_914595
50,1.0,0.00847457627118644,50,50,5900,LightGBM,13_features_without_memory,D5D6_full
100,0.91,0.015423728813559322,91,100,5900,LightGBM,13_features_without_memory,D5D6_full
200,0.81,0.02745762711864407,162,200,5900,LightGBM,13_features_without_memory,D5D6_full
500,0.632,0.05355932203389831,316,500,5900,LightGBM,13_features_without_memory,D5D6_full
1000,0.478,0.08101694915254237,478,1000,5900,LightGBM,13_features_without_memory,D5D6_full
2000,0.368,0.12474576271186441,736,2000,5900,LightGBM,13_features_without_memory,D5D6_full
5000,0.3956,0.3352542372881356,1978,5000,5900,LightGBM,13_features_without_memory,D5D6_full
10000,0.3188,0.5403389830508475,3188,10000,5900,LightGBM,13_features_without_memory,D5D6_full
50,1.0,0.008542627712284298,50,50,5853,LightGBM,13_features_without_memory,D5D6_clean_without_914593_914595
100,0.91,0.015547582436357423,91,100,5853,LightGBM,13_features_without_memory,D5D6_clean_without_914593_914595
200,0.81,0.027678113787801127,162,200,5853,LightGBM,13_features_without_memory,D5D6_clean_without_914593_914595
500,0.632,0.05398940714163677,316,500,5853,LightGBM,13_features_without_memory,D5D6_clean_without_914593_914595
1000,0.477,0.0814966683751922,477,1000,5853,LightGBM,13_features_without_memory,D5D6_clean_without_914593_914595
2000,0.368,0.12574747992482488,736,2000,5853,LightGBM,13_features_without_memory,D5D6_clean_without_914593_914595
5000,0.3936,0.33623782675551,1968,5000,5853,LightGBM,13_features_without_memory,D5D6_clean_without_914593_914595
10000,0.3164,0.5405774816333504,3164,10000,5853,LightGBM,13_features_without_memory,D5D6_clean_without_914593_914595
50,0.96,0.008135593220338983,48,50,5900,CatBoost,13_features_without_memory,D5D6_full
100,0.93,0.01576271186440678,93,100,5900,CatBoost,13_features_without_memory,D5D6_full
200,0.84,0.02847457627118644,168,200,5900,CatBoost,13_features_without_memory,D5D6_full
500,0.796,0.06745762711864407,398,500,5900,CatBoost,13_features_without_memory,D5D6_full
1000,0.742,0.12576271186440677,742,1000,5900,CatBoost,13_features_without_memory,D5D6_full
2000,0.8375,0.2838983050847458,1675,2000,5900,CatBoost,13_features_without_memory,D5D6_full
5000,0.7484,0.6342372881355932,3742,5000,5900,CatBoost,13_features_without_memory,D5D6_full
10000,0.4318,0.731864406779661,4318,10000,5900,CatBoost,13_features_without_memory,D5D6_full
