feature_set,model,region,n,positives,positive_rate,auc_pr,auc_roc,f1,precision,recall,brier,tp,fp,tn,fn,threshold,val_f1_for_threshold
13_features_without_memory,CatBoost,D5D6_clean__exposed_any,136520,5823,0.0426530911221799,0.7104486467569932,0.9537261384285967,0.7025500599007359,0.7001535050315538,0.7049630774514855,0.08262810713298743,4105,1758,128939,1718,0.9045237053527143,0.17960042060941864
13_features_without_memory,XGBoost,D5D6_clean__exposed_any,136520,5823,0.0426530911221799,0.46089950240447397,0.9292539769380388,0.17838157117542824,0.6364594309799789,0.10372660140820883,0.05649681419277464,604,345,130352,5219,0.9634175896644592,0.2513207547165338
13_features_without_memory,LightGBM,D5D6_clean__exposed_any,136520,5823,0.0426530911221799,0.42981889115000255,0.9052238253090031,0.1484690067214339,0.569954128440367,0.08535119354284733,0.040978673016102085,497,375,130322,5326,0.9681569771881595,0.27255129694110525
13_features_without_memory,CatBoost,D5D6_clean__fraud_exposed,27188,5688,0.2092099455642195,0.8030500745164627,0.8985778750858601,0.7612591698393537,0.8067309584727416,0.7206399437412095,0.1697744350847496,4099,982,20518,1589,0.9045237053527143,0.17960042060941864
13_features_without_memory,XGBoost,D5D6_clean__fraud_exposed,27188,5688,0.2092099455642195,0.6047899236228018,0.8440789340267557,0.18582434514637905,0.7518703241895262,0.1060126582278481,0.14506209383769475,603,199,21301,5085,0.9634175896644592,0.2513207547165338
13_features_without_memory,LightGBM,D5D6_clean__fraud_exposed,27188,5688,0.2092099455642195,0.5706198066799313,0.815142196545972,0.15458937198067632,0.6803840877914952,0.08720112517580872,0.12999709874140963,496,233,21267,5192,0.9681569771881595,0.27255129694110525
13_features_without_memory,CatBoost,D5D6_clean__history_exposed,109332,135,0.0012347711557458018,0.00995073682218451,0.9223337094798766,0.013086150490730643,0.0076726342710997444,0.044444444444444446,0.06095710171506306,6,776,108421,129,0.9045237053527143,0.17960042060941864
13_features_without_memory,XGBoost,D5D6_clean__history_exposed,109332,135,0.0012347711557458018,0.005268097723090476,0.7978814707635097,0.0070921985815602835,0.006802721088435374,0.007407407407407408,0.034472952715932675,1,146,109051,134,0.9634175896644592,0.2513207547165338
13_features_without_memory,LightGBM,D5D6_clean__history_exposed,109332,135,0.0012347711557458018,0.004301895019715527,0.7050726871820858,0.007194244604316547,0.006993006993006993,0.007407407407407408,0.018842125997665937,1,142,109055,134,0.9681569771881595,0.27255129694110525
13_features_without_memory,CatBoost,D5D6_clean__isolated,500181,30,5.997828785979475e-05,0.000269140274462669,0.8480063020967668,0.0,0.0,0.0,0.03002813624800449,0,1400,498751,30,0.9045237053527143,0.17960042060941864
13_features_without_memory,CatBoost,D5D6_clean__isolated,500181,30,5.997828785979475e-05,0.000269140274462669,0.8480063020967668,0.0,0.0,0.0,0.03002813624800449,0,1400,498751,30,0.9045237053527143,0.17960042060941864
13_features_without_memory,LightGBM,D5D6_clean__isolated,500181,30,5.997828785979475e-05,0.00026779953825672976,0.7687280774539422,0.0,0.0,0.0,0.007062640729701822,0,202,499949,30,0.9681569771881595,0.27255129694110525
13_features_without_memory,LightGBM,D5D6_clean__isolated,500181,30,5.997828785979475e-05,0.00026779953825672976,0.7687280774539422,0.0,0.0,0.0,0.007062640729701822,0,202,499949,30,0.9681569771881595,0.27255129694110525
13_features_without_memory,XGBoost,D5D6_clean__isolated,500181,30,5.997828785979475e-05,0.0002388561303959714,0.8130270325028508,0.0,0.0,0.0,0.01426742357659867,0,205,499946,30,0.9634175896644592,0.2513207547165338
